0;35;35;90;0
1;63;63;93;0
2;85;85;85;0
3;103;103;85;0
4;118;118;98;0
5;129;129;100;0
6;139;139;100;0
7;146;146;100;0
8;152;152;100;0
9;157;157;100;0
10;160;160;100;0
11;163;163;100;0
12;166;166;100;0
13;168;168;92;0
14;169;169;100;0
15;171;171;100;0
16;172;172;100;0
17;172;172;100;0
18;173;173;100;0
19;173;173;100;0
20;174;174;100;0
21;174;174;100;0
22;174;174;100;0
23;175;175;100;0
24;175;175;100;0
25;175;175;91;0
26;175;175;100;0
27;175;175;100;0
28;175;175;100;0
29;175;175;100;0
30;175;175;100;0
31;175;175;100;0
32;175;175;100;0
33;175;175;100;0
34;175;175;100;0
35;175;175;93;0
36;175;175;100;0
37;175;175;100;0
38;175;175;100;0
39;175;175;100;0
40;175;175;100;0
41;175;175;100;0
42;175;175;100;0
43;175;175;100;0
44;175;175;100;0
45;175;175;100;0
46;175;175;100;0
47;175;175;100;0
48;175;175;100;0
49;175;175;100;0
50;175;175;100;0
51;175;175;100;0
52;175;175;100;0
53;175;175;100;0
54;175;175;100;0
55;175;175;100;0
56;175;175;100;0
57;175;175;100;0
58;175;175;100;0
59;175;175;100;0
60;175;175;100;0
61;175;175;100;0
62;175;175;100;0
63;175;175;100;0
64;175;175;90;0
65;175;175;100;0
66;175;175;100;0
67;175;175;100;0
68;175;175;100;0
69;175;175;100;0
70;175;175;100;0
71;175;175;100;0
72;175;175;100;0
73;175;175;100;0
74;175;175;100;0
75;175;175;100;0
76;175;175;100;0
77;175;175;100;0
78;175;175;100;0
79;175;175;100;0
80;175;175;100;0
81;175;175;95;0
82;175;175;100;0
83;175;175;100;0
84;175;175;100;0
85;175;175;100;0
86;175;175;100;0
87;175;175;100;0
88;175;175;100;0
89;175;175;100;0
90;175;175;100;0
91;175;175;100;0
92;175;175;100;0
93;175;175;100;0
94;175;175;100;0
95;175;175;100;0
96;175;175;98;0
97;175;175;100;0
98;175;175;100;0
99;175;175;100;0
100;175;175;100;0
101;175;175;100;0
