20;70
51;70
41;70
33;70
26;70
21;70
17;70
13;70
11;70
49;70
39;70
31;70
25;70
20;70
16;70
13;70
10;70
8;70
7;70
5;70
4;70
3;70
36;70
29;70
23;70
55;70
44;70
36;70
28;70
68;70
90;70
111;70
89;70
71;70
57;70
45;70
36;70
29;70
50;70
40;70
32;70
26;70
20;70
16;70
13;70
10;70
8;70
46;70
37;70
30;70
24;70
19;70
15;70
12;70
10;70
8;70
6;70
5;70
4;70
3;70
3;70
37;70
29;70
23;70
19;70
15;70
12;70
10;70
8;70
6;70
5;70
4;70
3;70
3;70
2;70
47;70
38;70
30;70
24;70
19;70
48;70
39;70
31;70
25;70
20;70
16;70
13;70
10;70
50;70
40;70
32;70
26;70
21;70
16;70
13;70
11;70
8;70
7;70
18;70
14;70
11;70
9;70
7;70
6;70
5;70
4;70
3;70
2;70
40;70
32;70
26;70
20;70
16;70
13;70
10;70
42;70
33;70
27;70
21;70
17;70
14;70
11;70
47;70
38;70
30;70
24;70
19;70
16;70
12;70
10;70
40;70
32;70
25;70
20;70
16;70
13;70
10;70
8;70
7;70
5;70
4;70
41;70
33;70
26;70
21;70
17;70
13;70
46;70
37;70
29;70
24;70
19;70
15;70
12;70
55;70
57;70
45;70
36;70
29;70
23;70
19;70
47;70
38;70
30;70
24;70
19;70
15;70
12;70
10;70
8;70
38;70
68;70
54;70
43;70
35;70
28;70
22;70
18;70
14;70
11;70
9;70
7;70
6;70
5;70
4;70
3;70
2;70
50;70
40;70
32;70
26;70
21;70
16;70
13;70
11;70
8;70
7;70
5;70
4;70
3;70
3;70
2;70
46;70
37;70
29;70
24;70
19;70
15;70
12;70
10;70
8;70
6;70
5;70
4;70
3;70
3;70
2;70
2;70
52;70
42;70
33;70
27;70
21;70
17;70
14;70
11;70
9;70
7;70
6;70
4;70
4;70
3;70
2;70
2;70
1;70
1;70
49;70
39;70
32;70
25;70
20;70
61;70
49;70
39;70
31;70
25;70
20;70
16;70
13;70
62;70
85;70
68;70
54;70
43;70
35;70
28;70
22;70
18;70
14;70
11;70
9;70
7;70
6;70
5;70
4;70
3;70
35;70
28;70
26;70
21;70
17;70
13;70
51;70
41;70
33;70
26;70
21;70
17;70
13;70
11;70
9;70
48;70
39;70
31;70
25;70
20;70
16;70
13;70
10;70
8;70
6;70
5;70
4;70
3;70
42;70
61;70
49;70
39;70
31;70
25;70
20;70
16;70
44;70
36;70
28;70
23;70
18;70
15;70
12;70
9;70
7;70
6;70
44;70
35;70
28;70
23;70
18;70
46;70
37;70
29;70
24;70
19;70
15;70
12;70
10;70
8;70
6;70
5;70
4;70
43;70
34;70
27;70
22;70
17;70
14;70
11;70
9;70
7;70
6;70
5;70
4;70
3;70
2;70
2;70
30;70
24;70
19;70
16;70
12;70
10;70
8;70
49;70
69;70
55;70
44;70
35;70
28;70
62;70
49;70
39;70
31;70
25;70
20;70
16;70
51;70
41;70
33;70
26;70
21;70
17;70
13;70
11;70
9;70
7;70
6;70
4;70
4;70
27;70
22;70
60;70
48;70
39;70
31;70
25;70
20;70
35;70
28;70
22;70
18;70
14;70
25;70
20;70
16;70
17;70
13;70
11;70
9;70
7;70
6;70
4;70
4;70
3;70
2;70
2;70
1;70
1;70
1;70
1;70
1;70
0;70
0;70
0;70
0;70
0;70
0;70
0;70
0;70
0;70
0;70
0;70
0;70
0;70
0;70
0;70
24;70
19;70
15;70
12;70
10;70
8;70
6;70
5;70
4;70
3;70
3;70
23;70
38;70
38;70
30;70
24;70
20;70
26;70
21;70
21;70
17;70
13;70
11;70
18;70
15;70
12;70
45;70
39;70
31;70
25;70
20;70
16;70
13;70
10;70
8;70
7;70
5;70
26;70
20;70
16;70
38;70
30;70
24;70
19;70
15;70
12;70
10;70
8;70
6;70
8;70
7;70
5;70
4;70
12;70
9;70
8;70
6;70
5;70
4;70
3;70
2;70
2;70
2;70
1;70
1;70
1;70
1;70
1;70
0;70
0;70
23;70
18;70
15;70
12;70
20;70
16;70
13;70
10;70
8;70
6;70
5;70
10;70
8;70
19;70
15;70
12;70
10;70
8;70
6;70
5;70
4;70
3;70
3;70
2;70
2;70
16;70
13;70
10;70
8;70
7;70
5;70
4;70
3;70
3;70
2;70
2;70
1;70
1;70
1;70
21;70
16;70
13;70
10;70
8;70
7;70
5;70
14;70
11;70
9;70
7;70
6;70
5;70
21;70
17;70
14;70
11;70
9;70
7;70
9;70
8;70
6;70
5;70
4;70
3;70
2;70
2;70
2;70
26;70
21;70
17;70
14;70
11;70
9;70
24;70
19;70
15;70
12;70
10;70
8;70
25;70
20;70
16;70
13;70
10;70
26;70
21;70
16;70
13;70
11;70
8;70
7;70
32;70
26;70
21;70
16;70
13;70
35;70
28;70
22;70
18;70
14;70
11;70
9;70
34;70
27;70
22;70
18;70
14;70
11;70
9;70
7;70
6;70
5;70
4;70
3;70
2;70
2;70
2;70
1;70
1;70
36;70
29;70
23;70
18;70
15;70
12;70
9;70
9;70
7;70
5;70
4;70
3;70
3;70
2;70
2;70
1;70
1;70
1;70
1;70
1;70
0;70
0;70
24;70
19;70
15;70
12;70
33;70
27;70
21;70
17;70
14;70
11;70
9;70
7;70
6;70
4;70
4;70
3;70
2;70
2;70
24;70
19;70
15;70
12;70
10;70
8;70
6;70
5;70
4;70
3;70
3;70
2;70
2;70
1;70
1;70
1;70
1;70
1;70
0;70
0;70
0;70
0;70
0;70
0;70
0;70
25;70
20;70
16;70
13;70
10;70
8;70
6;70
5;70
4;70
3;70
3;70
2;70
2;70
1;70
1;70
1;70
30;70
43;70
34;70
27;70
22;70
17;70
14;70
11;70
9;70
7;70
6;70
5;70
4;70
3;70
2;70
37;70
46;70
37;70
47;70
38;70
30;70
44;70
35;70
28;70
23;70
18;70
15;70
12;70
9;70
7;70
47;70
56;70
45;70
36;70
29;70
23;70
18;70
15;70
12;70
9;70
38;70
30;70
24;70
19;70
15;70
12;70
10;70
8;70
45;70
36;70
29;70
23;70
19;70
15;70
12;70
9;70
8;70
6;70
5;70
4;70
3;70
2;70
2;70
41;70
58;70
46;70
37;70
30;70
24;70
50;70
40;70
32;70
26;70
21;70
52;70
62;70
50;70
40;70
32;70
26;70
20;70
16;70
41;70
33;70
26;70
21;70
17;70
13;70
11;70
47;70
56;70
45;70
36;70
29;70
23;70
18;70
45;70
36;70
29;70
23;70
19;70
15;70
12;70
10;70
8;70
6;70
5;70
4;70
3;70
2;70
2;70
2;70
1;70
