0;0;0;100;0
1;0;0;100;0
2;0;0;100;0
3;0;0;100;0
4;0;0;100;0
5;0;0;100;0
6;0;0;100;0
7;0;0;100;0
8;0;0;100;0
9;0;0;100;0
10;0;0;100;0
11;0;0;100;0
12;0;0;100;0
13;0;0;100;0
14;0;0;100;0
15;0;0;100;0
16;0;0;100;0
17;0;0;100;0
18;0;0;100;0
19;0;0;100;0
20;0;0;100;0
21;0;0;100;0
22;678;678;100;0
23;763;763;100;0
24;1007;1007;100;0
25;1322;1322;100;0
26;1645;1645;100;0
27;1316;1316;100;0
28;1496;1496;100;0
29;1197;1197;100;0
30;958;958;100;0
31;766;766;100;0
32;613;613;100;0
33;490;490;100;0
34;392;392;100;0
35;313;313;100;0
36;251;251;100;0
37;619;619;100;0
38;495;495;100;0
39;396;396;100;0
40;317;317;100;0
41;253;253;100;0
42;203;203;100;0
43;162;162;100;0
44;130;130;100;0
45;104;104;100;0
46;83;83;100;0
47;66;66;100;0
48;53;53;100;0
49;42;42;100;0
50;34;34;100;0
51;27;27;100;0
52;21;21;100;0
53;17;17;100;0
54;13;13;100;0
55;11;11;100;0
56;8;8;100;0
57;7;7;100;0
58;5;5;100;0
59;4;4;81;0
60;3;3;100;0
61;2;2;100;0
62;2;2;100;0
63;1;1;100;0
64;1;1;100;0
65;1;1;100;0
66;0;0;100;0
67;0;0;100;0
68;0;0;94;0
69;0;0;93;0
70;0;0;100;0
71;0;0;100;0
72;0;0;100;0
73;0;0;100;0
74;0;0;100;0
75;0;0;100;0
76;0;0;100;0
77;0;0;100;0
78;0;0;100;0
79;0;0;100;0
80;0;0;100;0
81;0;0;100;0
82;0;0;100;0
83;0;0;100;0
84;0;0;100;0
85;0;0;100;0
86;0;0;100;0
87;0;0;100;0
88;0;0;100;0
89;0;0;100;0
90;0;0;93;0
91;0;0;100;0
92;0;0;100;0
93;0;0;100;0
94;0;0;100;0
95;0;0;100;0
96;0;0;93;0
97;0;0;100;0
98;0;0;100;0
99;0;0;100;0
100;0;0;100;0
101;0;0;100;0
